id;nome;preco;caminho__img;categoria
01;GGOsFritas Cheddar Bacon;15.90;./imgs/acompanhamentos/01.jpeg;acompanhamento
02;GGOsFritas Grande;12.90;./imgs/acompanhamentos/02.jpeg;acompanhamento
03;GGOsFritas Média;10.90;./imgs/acompanhamentos/03.jpeg;acompanhamento
04;GGOsFritas Pequena;7.90;./imgs/acompanhamentos/04.jpeg;acompanhamento
05;GGOsFritas Kids;5.90;./imgs/acompanhamentos/05.jpeg;acompanhamento
06;Chicken GGOsNuggets 4 unidades;9.90;./imgs/acompanhamentos/06.jpeg;acompanhamento
07;Chicken GGOsNuggets 10 unidades;22.90;./imgs/acompanhamentos/07.jpeg;acompanhamento
08;Chicken GGOsNuggets 6 unidades;15.90;./imgs/acompanhamentos/08.jpeg;acompanhamento
09;Ketchup;1.50;./imgs/acompanhamentos/09.jpeg;acompanhamento
10;Mostarda;1.50;./imgs/acompanhamentos/10.jpeg;acompanhamento
11;Chicken GGOsNuggets 15 unidades;29.90;./imgs/acompanhamentos/11.jpeg;acompanhamento
12;Molho Barbecue;2.50;./imgs/acompanhamentos/12.jpeg;acompanhamento
13;Molho Ranch;2.50;./imgs/acompanhamentos/13.jpeg;acompanhamento
14;Coca-Cola 300ml;6.90;./imgs/bebidas/01.jpeg;bebida
15;Coca-Cola 500ml;8.90;./imgs/bebidas/02.jpeg;bebida
16;Coca-Cola 700ml;10.90;./imgs/bebidas/03.jpeg;bebida
17;Coca-Cola Zero 300ml;6.90;./imgs/bebidas/04.jpeg;bebida
18;Coca-Cola Zero 500ml;8.90;./imgs/bebidas/05.jpeg;bebida
19;Coca-Cola Zero 700ml;10.90;./imgs/bebidas/06.jpeg;bebida
20;Fanta Laranja 300ml;6.50;./imgs/bebidas/07.jpeg;bebida
21;Fanta Laranja 500ml;8.50;./imgs/bebidas/08.jpeg;bebida
22;Fanta Laranja 700ml;10.50;./imgs/bebidas/09.jpeg;bebida
23;Fanta Guaraná 300ml;6.50;./imgs/bebidas/10.jpeg;bebida
24;Fanta Guaraná 500ml;8.50;./imgs/bebidas/11.jpeg;bebida
25;Fanta Guaraná 700ml;10.50;./imgs/bebidas/12.jpeg;bebida
26;Del Valle Laranja 300ml;7.90;./imgs/bebidas/13.jpeg;bebida
27;Del Valle Laranja 500ml;9.90;./imgs/bebidas/14.jpeg;bebida
28;Del Valle Laranja 700ml;11.90;./imgs/bebidas/15.jpeg;bebida
29;Del Valle Uva 300ml;7.90;./imgs/bebidas/16.jpeg;bebida
30;Del Valle Uva 500ml;9.90;./imgs/bebidas/17.jpeg;bebida
31;Del Valle Uva 700ml;11.90;./imgs/bebidas/18.jpeg;bebida
32;Água Mineral;4.50;./imgs/bebidas/19.jpeg;bebida
33;Del Valle 100% Uva (GGOsLanche Feliz);9.50;./imgs/bebidas/20.jpeg;bebida
34;Café Premium 100ml;5.90;./imgs/bebidas/21.jpeg;bebida
35;Café Premium 200ml;7.50;./imgs/bebidas/22.jpeg;bebida
36;Café Premium 300ml;8.90;./imgs/bebidas/23.jpeg;bebida
37;Café com Leite 200ml;6.90;./imgs/bebidas/24.jpeg;bebida
38;Café com Leite 300ml;8.20;./imgs/bebidas/25.jpeg;bebida
39;Capuccino 200ml;9.50;./imgs/bebidas/26.jpeg;bebida
40;Capuccino 300ml;11.00;./imgs/bebidas/27.jpeg;bebida
41;Chocolate Quente 200ml;8.50;./imgs/bebidas/28.jpeg;bebida
42;Chocolate Quente 300ml;10.50;./imgs/bebidas/29.jpeg;bebida
43;Super Cheddar GGOsMelt Bacon;35.90;./imgs/Hamburgues/01.jpeg;hamburguer
44;Big GGOs;32.50;./imgs/Hamburgues/02.jpeg;hamburguer
45;Big GGOs;32.50;./imgs/Hamburgues/03.jpeg;hamburguer
46;Duplo Quarterão;34.90;./imgs/Hamburgues/04.jpeg;hamburguer
47;Duplo Quarterão;34.90;./imgs/Hamburgues/05.jpeg;hamburguer
48;Quarterão com Queijo;28.75;./imgs/Hamburgues/06.jpeg;hamburguer
49;Quarterão com Queijo;28.75;./imgs/Hamburgues/07.jpeg;hamburguer
50;GGOsNífico Bacon;31.20;./imgs/Hamburgues/08.jpeg;hamburguer
51;GGOsNífico Bacon;31.20;./imgs/Hamburgues/09.jpeg;hamburguer
52;Duplo Cheddar GGOsMelt;33.80;./imgs/Hamburgues/10.jpeg;hamburguer
53;Duplo Cheddar GGOsMelt;33.80;./imgs/Hamburgues/11.jpeg;hamburguer
54;Cheddar GGOsMelt;27.60;./imgs/Hamburgues/12.jpeg;hamburguer
55;Cheddar GGOsMelt;27.60;./imgs/Hamburgues/13.jpeg;hamburguer
56;Duplo Burger Bacon;37.90;./imgs/Hamburgues/14.jpeg;hamburguer
57;Duplo Burger Bacon;37.90;./imgs/Hamburgues/15.jpeg;hamburguer
58;Duplo Burger com Queijo;36.50;./imgs/Hamburgues/16.jpeg;hamburguer
59;Duplo Burger com Queijo;36.50;./imgs/Hamburgues/17.jpeg;hamburguer
